Date,Year,Month,State,UnemploymentRate,LaborForce,Employment_LAUS
2015-07-01,2015,7,Arkansas,4.9,1334168.0,1268565.0
2015-07-01,2015,7,California,6.1,18839426.0,17683551.0
2015-07-01,2015,7,Colorado,3.6,2816411.0,2714079.0
2015-07-01,2015,7,Connecticut,5.5,1899802.0,1794895.0
2015-07-01,2015,7,Delaware,4.8,462553.0,440447.0
2015-07-01,2015,7,District of Columbia,6.8,381639.0,355633.0
2015-07-01,2015,7,Florida,5.5,9594674.0,9070599.0
2015-07-01,2015,7,Georgia,6.0,4732561.0,4449743.0
2015-07-01,2015,7,Hawaii,3.3,682855.0,660162.0
2015-07-01,2015,7,Idaho,3.9,800658.0,769082.0
2015-07-01,2015,7,Illinois,5.9,6558362.0,6171075.0
2015-07-01,2015,7,Indiana,4.6,3266590.0,3114746.0
2015-07-01,2015,7,Iowa,3.7,1701152.0,1638912.0
2015-07-01,2015,7,Kansas,4.1,1496837.0,1435120.0
2015-07-01,2015,7,Kentucky,5.2,1975923.0,1873354.0
2015-07-01,2015,7,Louisiana,6.1,2144721.0,2013476.0
2015-07-01,2015,7,Maine,4.3,688316.0,658800.0
2015-07-01,2015,7,Maryland,5.0,3170232.0,3011021.0
2015-07-01,2015,7,Massachusetts,4.7,3617532.0,3445963.0
2015-07-01,2015,7,Michigan,5.4,4773803.0,4518278.0
2015-07-01,2015,7,Minnesota,3.8,3018015.0,2904592.0
2015-07-01,2015,7,Mississippi,6.3,1260747.0,1180996.0
2015-07-01,2015,7,Missouri,5.0,3051015.0,2897044.0
2015-07-01,2015,7,Montana,4.2,520051.0,498044.0
2015-07-01,2015,7,Nebraska,3.0,1014675.0,984055.0
2015-07-01,2015,7,Nevada,6.8,1395389.0,1300599.0
2015-07-01,2015,7,New Hampshire,3.3,746770.0,721800.0
2015-07-01,2015,7,New Jersey,5.7,4594206.0,4334275.0
2015-07-01,2015,7,New Mexico,6.7,941385.0,878314.0
2015-07-01,2015,7,New York,5.1,9736639.0,9237777.0
2015-07-01,2015,7,North Carolina,5.7,4710903.0,4440973.0
2015-07-01,2015,7,North Dakota,2.8,412068.0,400580.0
2015-07-01,2015,7,Ohio,4.8,5720710.0,5444284.0
2015-07-01,2015,7,Oklahoma,4.4,1826170.0,1746645.0
2015-07-01,2015,7,Oregon,5.5,1976675.0,1868817.0
2015-07-01,2015,7,Pennsylvania,5.4,6477709.0,6128703.0
2015-07-01,2015,7,Rhode Island,5.9,564458.0,531080.0
2015-07-01,2015,7,South Carolina,5.8,2241576.0,2111492.0
2015-07-01,2015,7,South Dakota,3.0,450029.0,436350.0
2015-07-01,2015,7,Tennessee,5.5,3079697.0,2910253.0
2015-07-01,2015,7,Texas,4.4,13021327.0,12444249.0
2015-07-01,2015,7,Utah,3.5,1463234.0,1411732.0
2015-07-01,2015,7,Vermont,3.5,351320.0,339191.0
2015-07-01,2015,7,Virginia,4.3,4226202.0,4045134.0
2015-07-01,2015,7,Washington,5.4,3549209.0,3357201.0
2015-07-01,2015,7,West Virginia,6.7,792080.0,739274.0
2015-07-01,2015,7,Wisconsin,4.3,3090169.0,2956190.0
2015-07-01,2015,7,Wyoming,4.2,300513.0,287965.0
2015-08-01,2015,8,Alabama,6.1,2170789.0,2038592.0
2015-08-01,2015,8,Alaska,6.2,360803.0,338311.0
2015-08-01,2015,8,Arizona,6.1,3116760.0,2927735.0
2015-08-01,2015,8,Arkansas,4.8,1333299.0,1269753.0
2015-08-01,2015,8,California,6.0,18832394.0,17700481.0
2015-08-01,2015,8,Colorado,3.5,2818352.0,2719018.0
2015-08-01,2015,8,Connecticut,5.5,1897248.0,1793233.0
2015-08-01,2015,8,Delaware,4.7,463324.0,441354.0
2015-08-01,2015,8,District of Columbia,6.7,382112.0,356395.0
2015-08-01,2015,8,Florida,5.4,9603740.0,9086573.0
2015-08-01,2015,8,Georgia,5.9,4730889.0,4451724.0
2015-08-01,2015,8,Hawaii,3.3,683337.0,660999.0
2015-08-01,2015,8,Idaho,3.9,801819.0,770313.0
2015-08-01,2015,8,Illinois,5.9,6560595.0,6174592.0
2015-08-01,2015,8,Indiana,4.6,3272212.0,3122057.0
2015-08-01,2015,8,Iowa,3.6,1700151.0,1638194.0
2015-08-01,2015,8,Kansas,4.0,1497096.0,1436586.0
2015-08-01,2015,8,Kentucky,5.2,1975210.0,1872988.0
2015-08-01,2015,8,Louisiana,6.0,2138864.0,2009846.0
2015-08-01,2015,8,Maine,4.2,687297.0,658378.0
2015-08-01,2015,8,Maryland,5.0,3169189.0,3011997.0
2015-08-01,2015,8,Massachusetts,4.7,3613335.0,3443969.0
2015-08-01,2015,8,Michigan,5.2,4775840.0,4526683.0
2015-08-01,2015,8,Minnesota,3.7,3017335.0,2904692.0
2015-08-01,2015,8,Mississippi,6.3,1260887.0,1181419.0
2015-08-01,2015,8,Missouri,4.9,3050439.0,2900782.0
2015-08-01,2015,8,Montana,4.2,520343.0,498282.0
2015-08-01,2015,8,Nebraska,3.0,1015778.0,985078.0
2015-08-01,2015,8,Nevada,6.7,1395502.0,1302015.0
2015-08-01,2015,8,New Hampshire,3.3,746324.0,721985.0
2015-08-01,2015,8,New Jersey,5.5,4591020.0,4339449.0
2015-08-01,2015,8,New Mexico,6.7,940443.0,877754.0
2015-08-01,2015,8,New York,5.0,9732451.0,9245181.0
2015-08-01,2015,8,North Carolina,5.7,4712347.0,4445724.0
2015-08-01,2015,8,North Dakota,2.8,411965.0,400542.0
2015-08-01,2015,8,Ohio,4.8,5717012.0,5443854.0
2015-08-01,2015,8,Oklahoma,4.3,1823735.0,1744694.0
2015-08-01,2015,8,Oregon,5.4,1980845.0,1874617.0
2015-08-01,2015,8,Pennsylvania,5.3,6481593.0,6135356.0
2015-08-01,2015,8,Rhode Island,5.8,563629.0,530853.0
2015-08-01,2015,8,South Carolina,5.7,2241066.0,2114050.0
2015-08-01,2015,8,South Dakota,3.0,450086.0,436624.0
2015-08-01,2015,8,Tennessee,5.4,3080105.0,2914272.0
2015-08-01,2015,8,Texas,4.5,13031358.0,12449698.0
2015-08-01,2015,8,Utah,3.5,1465935.0,1414293.0
